,pid,fid,cid,provid,countyid,urban,intyear,genderm,birthyr,age,b_feed_mon,board_school,verbal,math,school_tut_hrs,comp_tut_hrs,hobby_tut_hrs,int_tut_hrs,parent_child_tut_hrs,other_tut_hrs,fam_member_tut_hrs1,fam_member_tut_hrs2,fam_member_tut_hrs3,fam_member_tut_hrs4,fam_member_tut_hrs5,fam_member_tut_hrs6,fam_member_tut_hrs7,fam_member_tut_hrs8,fam_member_tut_hrs9,fam_member_tut_hrs10,fam_member_tut_hrs11,fam_member_tut_hrs12,fam_member_tut_hrs31,pid_f,pid_m,fid_m,cid_m,provid_m,countyid_m,hhcode_m,urban_m,intyear_m,genderm_m,birthyr_m,age_m,hukou_m,ccp_m,ccp_year_m,marital_m,first_marriage_m,year_married_m,year_divorced_m,salary_m,fid_f,cid_f,provid_f,countyid_f,hhcode_f,urban_f,intyear_f,genderm_f,birthyr_f,age_f,hukou_f,ccp_f,ccp_year_f,marital_f,first_marriage_f,year_married_f,year_divorced_f,salary_f
3721,621024401.0,621024.0,225500.0,62.0,146.0,0.0,,1.0,2011.0,5.0,10.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621024103.0,621024104.0,621024.0,225500.0,62.0,146.0,104.0,0.0,2016.0,0.0,1970.0,46.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621024.0,225500.0,62.0,146.0,103.0,0.0,2016.0,1.0,1975.0,41.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3732,621030106.0,621030.0,225500.0,62.0,146.0,0.0,2018.0,0.0,2009.0,9.0,-8.0,0.0,1.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621030103.0,621030105.0,517962.0,774799.0,32.0,941.0,105.0,1.0,2018.0,0.0,,29.0,,0.0,,,,,,,517962.0,774799.0,32.0,941.0,103.0,1.0,2018.0,1.0,-8.0,30.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2800.0
3722,621030106.0,621030.0,225500.0,62.0,146.0,0.0,,0.0,2009.0,7.0,-8.0,0.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621030103.0,621030105.0,621030.0,225500.0,62.0,146.0,105.0,0.0,2016.0,0.0,1989.0,27.0,0.0,0.0,-8.0,2.0,1.0,2008.0,-8.0,3000.0,621030.0,225500.0,62.0,146.0,103.0,0.0,2016.0,1.0,1988.0,28.0,1.0,0.0,-8.0,2.0,-8.0,2008.0,-8.0,5000.0
3733,621030401.0,621030.0,225500.0,62.0,146.0,0.0,2018.0,0.0,2011.0,7.0,-8.0,0.0,1.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621030103.0,621030105.0,517962.0,774799.0,32.0,941.0,105.0,1.0,2018.0,0.0,,29.0,,0.0,,,,,,,517962.0,774799.0,32.0,941.0,103.0,1.0,2018.0,1.0,-8.0,30.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2800.0
3723,621030401.0,621030.0,225500.0,62.0,146.0,0.0,,0.0,2011.0,5.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621030103.0,621030105.0,621030.0,225500.0,62.0,146.0,105.0,0.0,2016.0,0.0,1989.0,27.0,0.0,0.0,-8.0,2.0,1.0,2008.0,-8.0,3000.0,621030.0,225500.0,62.0,146.0,103.0,0.0,2016.0,1.0,1988.0,28.0,1.0,0.0,-8.0,2.0,-8.0,2008.0,-8.0,5000.0
3724,621033501.0,621033.0,542076.0,62.0,139.0,1.0,2016.0,0.0,2005.0,11.0,-8.0,0.0,3.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,10.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621033102.0,621033103.0,621033.0,222500.0,62.0,139.0,103.0,0.0,2016.0,0.0,1978.0,38.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621033.0,222500.0,62.0,139.0,102.0,0.0,2016.0,1.0,1976.0,40.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3734,621033501.0,621033.0,222500.0,62.0,139.0,0.0,2018.0,0.0,2005.0,13.0,14.0,1.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621033102.0,621033103.0,621033.0,222500.0,62.0,139.0,103.0,0.0,2018.0,0.0,1978.0,40.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621033.0,222500.0,62.0,139.0,102.0,0.0,2018.0,1.0,1976.0,42.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,4000.0
3735,621033521.0,621033.0,222500.0,62.0,139.0,0.0,2018.0,1.0,2012.0,6.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,7.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621033102.0,621033103.0,621033.0,222500.0,62.0,139.0,103.0,0.0,2018.0,0.0,1978.0,40.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621033.0,222500.0,62.0,139.0,102.0,0.0,2018.0,1.0,1976.0,42.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,4000.0
3725,621033521.0,621033.0,542076.0,62.0,139.0,1.0,,1.0,2012.0,4.0,10.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621033102.0,621033103.0,621033.0,222500.0,62.0,139.0,103.0,0.0,2016.0,0.0,1978.0,38.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621033.0,222500.0,62.0,139.0,102.0,0.0,2016.0,1.0,1976.0,40.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3726,621036103.0,621036.0,222500.0,62.0,139.0,0.0,2017.0,1.0,2004.0,13.0,-8.0,0.0,3.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,8.0,621036101.0,621036102.0,621036.0,412215.0,62.0,139.0,102.0,0.0,2016.0,0.0,1975.0,41.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621036.0,412215.0,62.0,139.0,101.0,0.0,2016.0,1.0,1972.0,44.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3736,621036103.0,621036.0,222500.0,62.0,139.0,0.0,2018.0,1.0,2004.0,14.0,12.0,1.0,3.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621036101.0,621036102.0,621036.0,222500.0,62.0,139.0,102.0,0.0,2018.0,0.0,-8.0,43.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621036.0,222500.0,62.0,139.0,101.0,0.0,2018.0,1.0,-8.0,46.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3727,621036106.0,621036.0,412215.0,62.0,139.0,0.0,2016.0,1.0,2006.0,10.0,-8.0,0.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621036101.0,621036102.0,621036.0,412215.0,62.0,139.0,102.0,0.0,2016.0,0.0,1975.0,41.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621036.0,412215.0,62.0,139.0,101.0,0.0,2016.0,1.0,1972.0,44.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3737,621036106.0,621036.0,222500.0,62.0,139.0,0.0,2018.0,1.0,2006.0,12.0,-8.0,0.0,3.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621036101.0,621036102.0,621036.0,222500.0,62.0,139.0,102.0,0.0,2018.0,0.0,-8.0,43.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,621036.0,222500.0,62.0,139.0,101.0,0.0,2018.0,1.0,-8.0,46.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3738,621039103.0,621039.0,222500.0,62.0,139.0,0.0,2018.0,1.0,2008.0,10.0,-8.0,0.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,4.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,621039101.0,621039102.0,621039.0,536184.0,61.0,2774.0,102.0,1.0,2018.0,0.0,-8.0,40.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2700.0,621039.0,222500.0,62.0,139.0,101.0,0.0,2018.0,1.0,-8.0,48.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3728,621039103.0,621039.0,222500.0,62.0,139.0,0.0,,1.0,2008.0,8.0,-8.0,0.0,2.0,2.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,621039101.0,621039102.0,621039.0,399272.0,61.0,76.0,102.0,1.0,2017.0,0.0,1978.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,2200.0,621039.0,222500.0,62.0,139.0,101.0,0.0,2016.0,1.0,1970.0,46.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
